Adam	n. 亚当
addition	n. 增加；添加这一动作|n. 新增的东西|n. 加法|n. 延长音符的附点|n. 附加在姓名后的称号|n. 纹章上的荣誉附加图案|n. 加成反应
additional	adj. 额外的；附加的|n. 新增的一项
additive	adj. 与相加有关的；可加上的|n. 添加剂；添加物|adj. 对加法具有分配性的|adj. 以加法为运算的|adj. 化学加成的|n. 补充性词语或短语|adj. 基因作用相加的
address	n. 地址；通信地址|v. 向……讲话；向……发出信息|v. 处理；解决（问题）|n. 举止；待人接物的方式|n. 正式演说；讲话|v. 专心着手做|v. 向某人讲话|v. 向……发表；把……说给|v. 在信封上写地址|v. 着手处理；专门应对|v. 为数据指定存储位置|n. 方向
adeline	n. 艾德琳（女子名）
adequate	adj. 足够的；符合要求的|det. 足够的|v. 使达到相等标准|v. 与……相等
adequately	adv. 足以满足需要|adv. 达到要求地|adv. 勉强够用
adhere	v. 粘住；附着|v. 忠于；坚持|v. 符合；一致|v. 确认判决
adherence	n. 紧密贴合|n. 遵守；坚持|n. 治疗依从性|n. 夫妻同居义务的履行
adjacent	adj. 相邻的；紧挨着的|prep. 紧邻；在……旁边|adj. 前后相邻的；相邻页面的|adj. 相关的；近似属于某领域的|prep. 与……相关；靠近……领域|n. 邻边
adjective	adj. 形容词的；与形容词有关的|n. 形容词|adj. 程序性的；关于执行规则的|adj. 需要媒染剂的|adj. 不能独立发挥作用的|n. 附属者；附属物|v. 使成为形容词|v. 用形容词描述
adjoin	v. 邻接, 毗连
adjust	v. 调整；改动|v. 修正；改正|v. 适应；适应变化|v. 核定保险理赔
adjustment	n. 调整这一动作|n. 调整后的改动|n. 账务调整|n. 适应新环境|n. 保险理赔核定与结算
administer	v. 管理；执行|v. 给药|v. 分发；配给|v. 照料；帮助|v. 主持宣誓|v. 使人服下药物|v. 处理遗产
administration	n. 管理；行政|n. 政府行政当局|n. 某位领导人执政期间的政府|n. 管理机构|n. 施用；执行|n. 经营管理|n. 公司接管程序
administrative	adj. 行政管理方面的
administrator	n. 管理者；行政负责人|n. 系统管理员|n. 遗产管理人|n. 代行总督职权者
admirable	adj. 值得钦佩的|adj. 英勇而值得赞赏的
admiration	n. 赞赏；敬佩|n. 惊疑；疑问|n. 令人惊叹之物
admire	v. 欣赏|v. 敬佩|v. 惊叹并欣赏|v. 惊叹|v. 很想做
admission	n. 准入；入场|n. 承认；认可|n. 接纳；收治|n. 法律上的承认|n. 被承认的事实或说法|n. 入场费|n. 教会任职认可
admit	v. 允许进入|v. 承认事实或错误|v. 接纳为合格成员|v. 容得下；允许某种解释|v. 允许；留有余地|v. 接收入院治疗
admittance	n. 接纳这一动作|n. 入内许可|n. 实际进入|n. 法律上的地产占有权交付|n. 导纳（阻抗的倒数）
adolescence	n. 青春期；青春阶段
adolescent	adj. 青春期的；青少年的|n. 青少年
adopt	v. 领养；收养|v. 采用；采取|v. 采纳；通过|n. 可供采用的对象|v. 连续十次击败
adoption	n. 采纳或采用的行为|n. 收养及被收养的状态|n. 把原本不是自己的东西接纳为己有|n. 从旧系统转用新系统|n. 接收进入机构|n. 宗教上的接纳为上帝的子女|n. 棋类俚语中的连续十胜
adoptive	adj. 收养关系的|adj. 与收养有关的
adore	v. 深爱；深深敬爱|v. 非常喜欢|v. 崇拜；敬奉|v. 装饰
adorn	v. 装饰；美化|adj. 装饰好的；华丽的|n. 装饰；装饰物
adornment	n. 装饰, 装饰品
adult	adj. 成年的；长大的|adj. 面向成年人的|n. 成年人|adj. 成人专用的（食品等）|n. 成年动物|v. 表现得像成年人|v. 使成为成年人
adulthood	n. 成年状态|n. 成年时期
advance	adj. 预先的；提前的|n. 进步；进展|v. 促进；推动|v. 使向前移动；使提前|adj. 先行的；提前到达的|adj. 前进的；前方的|n. 预付款；预支款|n. 上涨；涨价|v. 前进；推进|v. 提高；抬高|v. 上涨；增加|n. 主动接近；示好
advanced	adj. 先进的；前沿的|adj. 高级的；复杂的|adj. 进阶的；发展成熟的|adj. 向前的；年长的|adj. 发音部位靠前的|adj. 提前的
advancement	n. 进步；晋升|n. 先进状态；发展状态|n. 先进程度|n. 预付款；提前支付的款项|n. 预先分配给继承人的财产
advantage	n. 有利条件；有利位置|n. 好处；益处|n. 优势；压倒对方的地位|n. 网球中的占先分|n. 足球中的有利进攻继续|v. 使……占优势|n. 额外收益；利息|v. 为自己谋利
advantageous	adj. 有利的；有益的
advent	n. 到来；出现|v. 到来；开始出现
adventure	n. 冒险精神|n. 冒险经历；奇遇|n. 大胆冒险；冒险行动|n. 冒险类游戏|n. 投机性商业冒险|n. 偶然发生之事|n. 危险或损失的可能性|n. 风险；危险|v. 冒险承担；拿……冒险|v. 冒险做；敢于尝试|v. 碰碰运气
adventurism	n. 冒险主义
adventurous	adj. 有冒险精神的；敢于尝试的|adj. 充满风险的；大胆的
adverb	n. 副词
adversarial	adj. 对抗性的；敌对的|adj. 对抗式诉讼的
adverse	adj. 敌对的；有害的|adj. 不利的；有碍发展的|adj. 相对的；面对面的
adversely	adv. 不利地；负面地
advertise	v. 公开宣布|v. 为商品或服务做广告|v. 发布信息招揽注意|v. 通知某人|v. 牌戏中的诱导性弃牌
advertisement	n. 商业广告|n. 公开公告|n. 宣传；活广告|n. 声名；恶名|n. 金拉米牌戏中的诱导弃牌
advertiser	n. 广告主；广告商|n. 个人广告刊物
advertising	n. 广告宣传|n. 广告业|v. 宣传；做广告
advice	n. 建议；忠告|n. 深思；见识|n. 消息；情报|n. 金融正式通知文件|n. 商业书面通知|n. 法律意见或告知|n. 建议采取合法法律行动|n. 建议采取违法行动|n. 切入点触发代码|v. advise 的误拼
advisability	n. 明智
advisable	adj. 值得推荐的；明智的|adj. 愿意接受劝告的
advise	v. 建议某人做某事|v. 推荐某种做法|v. 正式告知|n. “advice”的误写|v. 审议，仔细考虑|v. 观看，看见|v. 商议，征询意见|v. 案件保留后作出裁决|v. 向君主或国家元首正式报告
adviser	n. 顾问；咨询者|n. 班级指导老师
advisor	n. 顾问；建议者|n. 士（中国象棋棋子）
advisory	adj. 提供建议的|n. 警告；提醒通告|adj. 包含建议的|n. 天气警报；气象通告|n. 顾问指导；监督
advocacy	n. 为某事据理支持|n. 帮助他人发声|n. 倡导工作或倡导职业
advocate	n. 出庭辩护的律师|n. 支持某事的倡导者|v. 倡导、主张|v. 进行倡导活动|n. 替别人辩护的人|n. 帮助他人发声的支持者|v. 为某人或某事辩护|v. 向苏格兰高等法院上诉|v. 提取案件自行裁决
aegean	adj. 爱琴海的；爱琴地区的|adj. 爱琴海地区青铜时代文明的|n. 爱琴猫
aei	abbr. 美国能源独立协会（Americans for Energy Independence）
aerial	adj. 空中的|adj. 高处的|adj. 大气的|adj. 航空的|adj. 地面以上的|n. 天线|n. 空中动作|n. 空翻|n. 航拍照片|adj. 气态的|adj. 空灵而不实在的|n. 图像伪影
aerobic	adj. 需要氧气的|adj. 有氧运动的
aeronautics	n. 飞行器与飞行科学|n. 航空导航理论与实践
aeroplane	n. 飞机|v. 乘飞机飞行|v. 用飞机运输|n. 翼面|n. 一种蝴蝶
aesthetic	adj. 审美的；艺术效果上的|n. 美学；审美研究|n. 风格；审美气质；氛围|n. 审美感受；能引起美感的东西|adj. 美观的；有美感的
aesthetics	n. 美学|n. 审美风格
affair	n. 事务；要处理的事情|n. 某件事情；某种行动|n. 某个说不清的物件|n. 聚会；社交活动|n. 小规模军事行动|n. 婚外情|n. 不正当恋爱关系|n. 婚外情对象|n. 生殖器
affect	n. 情绪状态|v. 影响、改变|v. 假装、装出|v. 触动情绪|v. 侵害、影响身体|n. 心情或倾向|n. 欲望或胃口|v. 使倾向于|v. 使呈现某种状态|v. 指派、任命|v. 使财产负担固定义务|v. 追求、力求获得
affection	n. 喜爱；依恋|n. 情感；感情|n. 作用或影响|n. 受影响后的情感状态|n. 属性或状态|n. 疾病；病症|v. 喜爱；对……有感情
affectionate	adj. 亲切有爱；疼爱人的|adj. 带有爱意的；温柔亲切的|adj. 热切的；强烈倾向于某事的|v. 喜爱；向某人表示感情|v. 使自己依恋于
affiliate	n. 关联成员；附属机构|v. 使建立联系；结盟|v. 加入；与……联合|v. 收养为子女|v. 确定父系|v. 追溯来源
affiliation	n. 归属；关联|n. 联盟组织；协会|n. 亲子关系确认
affinity	n. 天然的亲近感；合得来|n. 联系；相似的关系|n. 婚姻带来的亲属关系|n. 对某事物的强烈喜爱|n. 姻亲；因婚姻成为的亲属|n. 恋爱关系|n. 情人；恋人|n. 生物类群的亲缘相似性|n. 矿物的结构相似性|n. 原子间的结合吸引力|n. 抗体与抗原的结合力|n. 处理器亲和性
affirm	intj. 是；没错|v. 确认；肯定回答|v. 断言；坚称|v. 支持；给予肯定|v. 正式确认；维持原决定|v. 郑重宣誓
affirmative	adj. 肯定的；表示是的|adj. 赞成的；正面的|intj. 是|n. 肯定回答；是|adj. 赞成某一结果的|adj. 逻辑上肯定命题的|adj. 正的；非负号的|intj. 是；正确|n. 表示同意的答复|adj. 确认并使之有效的|adj. 武断自信的|n. 断言
affluent	adj. 丰富充足的|adj. 富裕的|n. 富裕的人|adj. 支流的|adj. 流入的；大量流动的|n. 支流
afford	v. 承担得起；买得起|v. 带来；提供|v. 出售或提供|v. 产出；提供天然资源
affordable	adj. 负担得起的；价格合理的
afloat	adj. 漂浮着|adj. 勉强维持下去|adv. 漂浮起来或处于漂浮中|adj. 在船上或海上|adj. 飘散着、松散垂着|adj. 被水淹着|adj. 充满、遍布|adj. 正在流传|adv. 在海上|adv. 传播开来|adj. 被激起、活跃起来|adj. 心神混乱
afraid	adj. 害怕；感到恐惧|adj. 恐怕；很遗憾|adj. 担心；替……感到害怕
african	adj. 非洲的；与非洲有关的|n. 非洲人|adj. 黑人（过时且冒犯）
after	adv. 在后；随后|prep. 在……之后|prep. 追求；寻找|adj. 后来的；后续的|n. 处理后的照片|prep. 跟在……后面；替……收拾|prep. 在……后面|prep. 以……命名；仿照……|prep. 次于；排在……之后|prep. 为了；关于；针对|adj. 船尾的；机尾的|prep. 刚刚做完……
aftermath	n. 灾难后的余波与后果|n. 再次割草后长出的草
afternoon	n. 下午|intj. 下午好|n. 后期，暮年|n. 下午聚会|adv. 在下午
afterward	adv. 然后, 后来
afterwards	adv. 后来；之后
ag	intj. 哎呀；唉|n. 农业|n. 农业|adv. 再次；重新|n. 骨料；集料|n. 总检察长；司法部长|n. 审计长|n. 八月|n. 抗原|n. 八月|n. 阳刚型女性；攻击型女性|n. 农业航空
again	adv. 再一次|adv. 重新；恢复原状|adv. 再多一份|adv. 再次致意或重提|adv. 此外；再者|adv. 返回原处|adv. 作为回报|adv. 在别处|adv. 另一方面|prep. 反对；对着
against	prep. 逆着；朝相反方向|prep. 撞着；冲击着|prep. 靠着；倚着|prep. 和……比赛；对阵|prep. 违背；违反|prep. 紧挨着；沿着|prep. 以……为背景|prep. 与……相比|prep. 反对|prep. 用来抵扣；兑换|prep. 作为平衡或抵消|prep. 向……征收；记在……名下
age	n. 年龄；年数|n. 时代；历史时期|v. 变老；变旧|n. 年老；老年|n. 人生阶段|n. 达到某种资格的年龄|n. 成年；成熟到有完整权利|n. 某人的时代；某类事物盛行的时期|n. 一百年；世纪|n. 很久|v. 经时间检验；显得过时|v. 使变老；使显老
age-specific	adj. (在作用或效果方面)限于特定年龄群(或年龄段)的
ageing	adj. 逐渐老化的；变老的|n. 老化；变老过程|v. 正在变老；老化
agency	n. 自主行动和选择的能力|n. 代办业务的机构|n. 行动或施加影响的力量|n. 实现目的的中介或手段|n. 代理职能或委托代理关系|n. 政府行政部门
agenda	n. 行动计划|n. 会议议程|n. 计划记录本|n. 隐藏目的|n. 仪式
agent	n. 行动者；有行动能力者|n. 代理人；代表|n. 经纪人；职业中介|n. 特工；情报人员|n. 作用因素；致效物|n. 代理程序|n. 施事；动作执行者|n. 特工称呼|n. 赌场作弊同伙
aggravate	v. 使冒犯或罪行更严重|v. 使坏事恶化|v. 惹恼、激怒|adj. 加重的|adj. 负担沉重的|adj. 加剧的|adj. 受教会惩罚的|v. 夸大、加重语气|v. 把沉重负担加给某人
aggregate	adj. 合计的；总体的|n. 总和；整体|v. 汇集；合计|adj. 由小部分组成的|n. 总比分|v. 合计达到|adj. 成簇的|adj. 由多个花部合成的|adj. 部件机械结合的|adj. 聚成共同整体的|n. 同类颗粒的集合体|n. 集合
aggregation	n. 聚集的过程|n. 聚成的状态或总和|n. 聚成的集合|n. 路由聚合|n. 寄生虫聚集|n. 非所有关系的对象组合|n. 句法成分的组合
aggressive	adj. 好斗的；有攻击性的|adj. 激进的；不惜一切扩大运用的|adj. 恶性的；进展或扩散很快的|adj. 激进冒险的|n. 好斗的人|adj. 男性化形象的女性|n. 男性化形象的女性
aggressiveness	n. 攻击性；咄咄逼人的劲头|n. 侵蚀性|n. 具体的强硬表现或结果
aging	adj. 变老的；年迈的|n. 变老；老化过程|n. 做旧；人为老化|n. 磨损；损耗|v. age 的现在分词和动名词|n. 生物老化
agitate	vt. 使摇动, 搅动, 使激动, 使不安|vi. 鼓动, 煽动
agitator	n. 煽动者
ago	adj. 过去的；离去的|adj. 将尽的；死去的
agonize	vt. 使极度痛苦, 折磨|vi. 感到痛苦
agony	n. 极度痛苦|n. 临死挣扎|n. 耶稣受难|n. 激烈苦斗|n. 强烈情感爆发
agrawal	阿格拉沃尔（人名）
agree	v. 意见一致|v. 表示同意|v. 相符；一致|v. 批准；同意某项安排|v. 达成约定|v. 适合；对……有益|v. 语法上一致|v. 同意合同条款
agreeable	adj. 令人愉快的|adj. 与……相合的|adj. 可达成一致的|adj. 愿意同意的|adj. 按照；依照|n. 令人愉快的事物
agreed	adj. 意见一致|intj. 同意！
agreement	n. 约定；协议|n. 一致；相符|n. 具有法律效力的协议|n. 语法配合；一致|n. 讨人喜欢的特质
agricultural	adj. 农业的；与农业有关的|n. 农产品；农业商品|adj. 像挥镰刀一样的（击球）|adj. 粗俗的；没教养的|adj. 笨拙的；不得体的
agriculture	n. 农业；农耕业
ahead	adv. 在前方；朝前|adv. 领先；进度更快|adv. 将来；前方将有|adv. 把时间调晚；向后拨到更晚|adv. 预先；提前|adv. 把时间提前到更早
aid	n. 帮助；援助|v. 帮助；支持|n. 助手|n. 辅助物；辅助工具|n. 历史上的王室特别补助|n. 国库贷款|n. 封建贡金|n. aide 的变体|n. 骑马时的辅助动作|n. 供者人工授精|v. 借助器材攀登
aide	n. 助手；助理|n. 副官；高级官员的助理
aim	n. 瞄准方向|n. 目的；目标|v. 瞄准|v. 力求；旨在|n. 目标|n. 瞄准能力|n. 即时通信服务|v. 把……对准；使……指向|v. 针对；把话说向|n. 猜测|n. 空中拦截导弹|v. 猜测；推测
aimless	a. 无目的的, 没有目标的
aimlessly	adv. 漫无目的地
aimlessness	n. 无目的, 盲目性
ain	det. 自己的；属于自己的|n. 前骨间神经
air	n. 空气|n. 空气；新鲜空气|n. 空中；天空下的空间|n. 其他行星的大气|n. 微风；轻风|n. 气质；氛围|n. 装腔作势的姿态|n. 曲调；独唱曲|n. 什么也没有；落空|n. 空调|n. 广播；播出渠道|n. 宣传曝光
air-condition	v. 用空调降温
air-conditioning	v. 正在调节空气；调节空气这件事
air-pollution	[环境] 大气污染，[环境] 空气污染
air-traffic-control	空中交通管制|空中交通管制队
airbnb	n. 平台式短租模式|n. 一套短租房|v. 通过平台出租或租住某房屋|v. 进行平台式短租
airborne	adj. 在空中的；空气传播的|adj. 正在飞行的；已离地的|adj. 机载的|adj. 由飞机运送的|n. 空降部队
airbus	n. 喷气式客机|n. 空客制造的飞机
aircraft	n. 航空器；飞行器
airline	n. 航空公司
airliner	n. 客运飞机
airplane	n. 飞机|v. 乘飞机飞行|n. 飞机喂饭游戏|v. 用飞机运送
airport	n. 机场
airy	adj. 通风的；空气流通的|adj. 轻松活泼的|adj. 宽敞明亮且通风良好的|adj. 轻薄无形的；不实在的|adj. 空灵优美的|adj. 不切实际的；没有根据的|adj. 故作优雅的；摆架子的|adj. 由空气构成的|adj. 空中的；航空的|adj. 色调轻淡自然的
aisle	n. 座位间过道|n. 商店货架间走道|n. 教堂侧廊|n. 障碍物间的通路|n. 靠过道的座位|n. 美国两党之间的分界|n. 婚礼通道；婚姻
akin	adj. 相似的；同类的|adj. 有血缘关系的|v. 联系；比作
alarm	n. 危险警报；警告信号|n. 惊恐；忧虑|v. 警告；使警觉|v. 使惊慌；使担忧|n. 报警器；警报装置|n. 闹钟|n. 警报响起；闹铃声|v. 发出警报|v. 使持续不安；扰乱|n. 召集武装|n. 突然袭击；骚乱|v. 召集武装
